CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,BRUCELLOSIS,CCPP,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,MANGE MITE,MASTITIS,PASTEUROLLOSIS,POX,PPR,TRICHOSTRONGIULOSIS,ZZ_OTHER
4743,1,0,U,veteddie_eddie,8/14/2020 0:00, GOAT,TRICHOSTRONGIULOSIS,NP,P,NP,P,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1227,0,0,U,Eddie,3/25/2019 0:00, GOAT,TRICHOSTRONGIULOSIS,NP,NP,NO,P,NP,NP,NP,NP,NP,NP,NP,P,NP,P,NP,NP,NP,NP,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4306,1,0,U,veteddie_eddie,1/17/2020 0:00, GOAT,TRICHOSTRONGIULOSIS,NP,P,NP,P,NP,NP,NP,NP,NP,P,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
674,0,22,D,Eddie,2/4/2019 0:00, GOAT,ZZ_OTHER,NP,P,NP,P,NP,NP,NP,NP,P,NP,P,P,P,NP,P,NP,NP,P,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3055,1,32,D,veteddie_eddie,2/7/2020 0:00, GOAT,ZZ_OTHER,NP,P,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4105,0,9,D,veteddie_eddie,1/19/2020 0:00, GOAT,ZZ_OTHER,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3791,0,18,M,veteddie_eddie,11/26/2019 0:00, GOAT,ZZ_OTHER,NP,P,NP,P,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2942,1,39,M,veteddie_eddie,1/31/2020 0:00, GOAT,ZZ_OTHER,NP,P,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
807,0,0,U,Eddie,2/7/2019 0:00, GOAT,ZZ_OTHER,NP,P,NP,P,P,NP,NP,NP,P,P,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3112,0,0,U,veteddie_eddie,2/6/2020 0:00, GOAT,ZZ_OTHER,NP,P,NP,NP,NP,NP,NP,NP,NP,P,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3712,0,0,U,veteddie_eddie,1/1/2020 0:00, GOAT,ZZ_OTHER,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
902,0,0,U,Eddie,2/15/2019 0:00, GOAT,ZZ_OTHER,NP,P,NP,P,NP,NP,P,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
581,0,0,U,Eddie,2/4/2019 0:00, GOAT,ZZ_OTHER,P,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2991,0,0,U,veteddie_eddie,1/31/2020 0:00, GOAT,ZZ_OTHER,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
